state,action,q_value
4|5|1|1,7,0.059658603493112784
4|5|1|1,0,-0.5310642316093918
4|5|1|1,1,0.6938667658620415
4|5|1|1,3,0.7696065375210077
6|5|1|1,4,-0.4283755363157819
6|5|1|1,1,2.1510401555068963
6|5|1|1,5,-1.5795898743283558
6|5|1|1,0,-0.4989614660222186
6|5|1|1,2,-0.35884345601172746
6|5|1|1,3,-0.8850252145863396
6|5|1|1,7,0.24674717611659872
3|1|3|2,7,2.7404715548774217
3|1|3|2,1,2.5340393821593965
3|1|3|2,4,2.792574087755391
3|1|3|2,0,2.3148999381677897
3|1|3|2,5,3.102464622403174
3|1|3|2,2,4.463403162165178
3|1|3|2,6,2.7605386259980014
7|1|3|2,2,4.67252517329269
7|1|3|2,3,3.877716122258895
7|1|3|2,1,2.6039367004498306
7|1|3|2,0,2.6474864211538134
7|1|3|2,4,2.945318231011439
7|1|3|2,6,3.0795417314787588
7|1|3|2,5,2.7571525068472864
2|2|3|4,5,2.47861602745788
2|2|3|4,4,4.489482374401719
2|2|3|4,3,1.7888974394597237
2|2|3|4,6,2.5572279511103906
2|2|3|4,0,1.56404794396539
2|2|3|4,1,2.2633462631417642
2|2|3|4,7,2.7352009616564468
5|2|3|4,2,1.7967280073986418
5|2|3|4,4,4.507998874561894
5|2|3|4,1,1.8287921583302231
5|2|3|4,0,0.9416151073347241
5|2|3|4,3,1.7481165071962583
5|2|3|4,7,1.672184625404159
5|2|3|4,6,1.659209056314525
4|3|3|0,6,1.8115240563990465
4|3|3|0,5,1.6565896611813753
4|3|3|0,1,1.5174897321251364
4|3|3|0,7,1.9966578968141449
4|3|3|0,0,2.8540124553215045
4|3|3|0,2,1.7843511168691502
4|3|3|0,3,2.5413223104259104
6|4|3|0,2,0.3827944376881967
6|4|3|0,5,0.1787483247430924
6|4|3|0,1,0.43016962770172906
6|4|3|0,4,0.6147182562910309
6|4|3|0,0,1.953528471929116
6|4|3|0,3,2.6618276941910834
6|4|3|0,7,0.868025226246893
2|1|3|3,0,2.9282845718337738
2|1|3|3,7,2.8708476706664783
