state,action,reward(average)
4|1|3|3,0,0.0
4|1|3|3,2,0.0
4|1|3|3,5,0.0
3|2|6|6,4,1.0
3|2|6|6,6,2.6017964071856285
3|2|6|6,0,0.0
3|2|6|6,1,1.0
4|3|6|6,5,0.3466666666666667
4|3|6|6,0,0.0
4|3|6|6,7,0.0
4|3|6|6,2,0.0
4|3|6|6,6,2.5426356589147288
0|1|1|1,6,0.25
0|1|1|1,3,0.3333333333333333
0|1|1|1,7,0.0
0|1|1|1,2,0.2
0|1|1|1,4,0.16666666666666666
0|1|1|1,5,0.3333333333333333
0|1|1|1,1,1.8044642857142856
6|1|1|1,2,0.21951219512195122
6|1|1|1,0,0.0
6|1|1|1,5,0.0
6|1|1|1,3,0.0
6|1|1|1,1,1.7661406025824964
6|1|1|1,7,0.0
2|1|1|1,7,0.0
2|1|1|1,1,1.7763041556145005
2|1|1|1,0,0.0
7|1|1|1,0,0.0
7|1|1|1,4,0.0
7|1|1|1,2,0.0
7|1|1|1,3,0.2
7|1|1|1,1,1.8113413304252999
7|1|1|1,5,0.5
7|1|1|1,6,1.0
3|1|1|1,5,0.1710114702815433
3|1|1|1,0,0.0
3|1|1|1,4,0.0
3|1|1|1,7,0.0
3|1|1|1,2,0.1111111111111111
3|1|1|1,6,0.0
5|2|1|1,1,1.9089655172413793
5|2|1|1,7,0.5
5|2|1|1,6,0.3333333333333333
5|2|1|1,0,0.0
5|2|1|1,3,0.0
5|2|1|1,4,0.0
5|2|0|1,1,1.1417910447761195
5|2|0|1,4,0.0
1|3|0|2,0,0.0
1|3|0|2,6,0.46075085324232085
1|3|0|2,7,0.0
1|3|0|2,4,0.3333333333333333
1|3|0|2,3,0.0
0|3|0|2,4,0.0
0|3|0|2,2,1.05
0|3|0|2,7,0.0
0|3|0|2,1,0.0
0|3|0|2,5,1.0
4|3|0|2,7,0.5298013245033113
4|3|0|2,6,0.5
7|4|0|0,1,0.2222222222222222
7|4|0|0,6,0.2222222222222222
7|4|0|0,0,1.446319737458978
7|4|0|0,2,0.2857142857142857
7|4|0|0,3,0.2
7|4|0|0,5,0.0
7|4|0|0,4,0.5
1|4|0|0,4,0.0
1|4|0|0,7,0.0
1|4|0|0,2,0.25
1|4|0|0,6,0.25
1|4|0|0,0,1.396813902968863
1|4|0|0,3,0.3333333333333333
1|4|0|0,5,0.6666666666666666
4|4|0|0,1,0.0
4|4|0|0,6,0.4175824175824176
4|4|0|0,5,0.5
4|4|0|0,7,0.42857142857142855
4|4|0|0,0,1.3908629441624365
4|4|0|0,3,1.0
4|4|0|0,2,1.0
1|1|3|3,0,0.0
1|1|3|3,7,0.25100401606425704
1|1|3|3,5,0.0
1|1|3|3,2,0.0
1|1|3|3,6,0.0
1|1|3|3,4,0.5
1|1|3|3,3,1.8064516129032258
6|2|3|3,0,0.0
6|2|3|3,5,0.0
6|2|3|3,4,0.4
6|2|3|3,7,0.5436893203883495
0|2|3|3,7,0.0
0|2|3|3,6,0.0
